id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
921557186021959335,https://www.airbnb.com/rooms/921557186021959335,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,26288774,Susanna,2015-01-18,"Munich, Germany",,,100%,f,,1,1,t,,Untergiesing-Harlaching,48.10600088419521,11.575755339093737,Entire rental unit,Entire home/apt,2,1 bath,1,,4,4,0,,,,,,,,,,f,1,1,0,0,
970082074703841229,https://www.airbnb.com/rooms/970082074703841229,Rental unit in Munich · 1 bedroom · 2 beds · 1 bath,,60455088,Simon,2016-02-26,"Munich, Germany",,,33%,f,,1,5,t,"Munich, Bayern, Germany",Schwabing-West,48.16724,11.58145,Entire rental unit,Entire home/apt,5,1 bath,2,,1,365,2,2023-09-24,2023-10-01,4.0,4.5,4.0,4.5,4.0,5.0,3.5,f,1,1,0,0,0.64
924962143236435370,https://www.airbnb.com/rooms/924962143236435370,Home in Munich · ★4.67 · 3 bedrooms · 5 beds · 1.5 baths,,136932221,Andreas,2017-06-25,"Munich, Germany",within an hour,100%,97%,f,,1,1,t,"Munich, Bayern, Germany",Moosach,48.18324,11.50615,Entire home,Entire home/apt,7,1.5 baths,5,$85.00,1,20,14,2023-08-06,2023-10-23,4.67,4.73,4.2,4.93,4.87,4.87,4.73,f,1,1,0,0,2.94
920323239237554730,https://www.airbnb.com/rooms/920323239237554730,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,8697113,Jessica,2016-01-06,,,,100%,f,,1,1,t,,Maxvorstadt,48.150973930487126,11.577018131851476,Entire rental unit,Entire home/apt,2,1 bath,1,,1,20,2,2023-07-31,2023-08-06,5.0,5.0,5.0,4.5,4.5,5.0,5.0,f,1,1,0,0,0.40
925149137694320578,https://www.airbnb.com/rooms/925149137694320578,Rental unit in Munich · 4 bedrooms · 3 beds · 1 bath,,30334231,Adriaan,2015-03-31,"The Hague, Netherlands",within a day,100%,63%,f,,1,2,t,"Munich, Bayern, Germany",Au-Haidhausen,48.13140146581021,11.590804402529333,Entire rental unit,Entire home/apt,7,1 bath,3,$196.00,3,14,1,2023-09-11,2023-09-11,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,1,1,0,0,0.28
928320897565664736,https://www.airbnb.com/rooms/928320897565664736,Rental unit in Munich · 1 bedroom · 2 beds · 1.5 baths,,107007562,Petra,2016-12-12,"Munich, Germany",,,60%,f,,1,1,t,"Munich, Bayern, Germany",Au-Haidhausen,48.122697726008916,11.585276942261192,Entire rental unit,Entire home/apt,8,1.5 baths,2,,2,15,2,2023-07-19,2023-07-27,5.0,4.5,5.0,5.0,4.5,5.0,5.0,f,1,1,0,0,0.37
965023697009490459,https://www.airbnb.com/rooms/965023697009490459,Rental unit in Munich · 1 bedroom · 1 bed · 1 private bath,,24621537,Max,2014-12-08,"Munich, Germany",,,,f,,1,2,t,,Untergiesing-Harlaching,48.09423789884038,11.580063923035315,Private room in rental unit,Private room,3,1 private bath,1,,2,16,0,,,,,,,,,,f,1,0,1,0,
929507781260949025,https://www.airbnb.com/rooms/929507781260949025,Condo in Munich · ★4.71 · 2 bedrooms · 2 beds · 1 bath,,91590502,Enya,2016-08-24,"Munich, Germany",within a few hours,100%,79%,f,,2,2,t,"Munich, Bayern, Germany",Sendling,48.12188209112401,11.549109729363472,Entire condo,Entire home/apt,5,1 bath,2,,1,7,7,2023-07-15,2023-10-02,4.71,4.57,4.57,4.71,5.0,4.86,4.57,t,2,1,1,0,1.27
932302689121405989,https://www.airbnb.com/rooms/932302689121405989,Rental unit in Munich · ★5.0 · 2 bedrooms · 2 beds · 2 baths,,43103444,Nina,2015-09-01,"Munich, Germany",within a day,100%,60%,f,,1,1,t,"Munich, Bayern, Germany",Ludwigsvorstadt-Isarvorstadt,48.12851,11.57485,Entire rental unit,Entire home/apt,3,2 baths,2,,3,20,3,2023-08-21,2023-11-05,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,1,1,0,0,0.70
965698444507520755,https://www.airbnb.com/rooms/965698444507520755,Rental unit in Munich · 1 bedroom · 2 beds · 1 bath,,203820252,Maximilian,2018-07-20,"Munich, Germany",,,100%,f,,1,1,t,,Moosach,48.18650604918018,11.519031793379664,Entire rental unit,Entire home/apt,2,1 bath,2,,2,365,2,2023-08-29,2023-09-01,5.0,4.5,5.0,5.0,5.0,4.5,5.0,f,1,1,0,0,0.50
933188426506467226,https://www.airbnb.com/rooms/933188426506467226,Hotel in Munich · 1 bedroom · 1 bed · 1 bath,,453743389,Hotel Blauer Bock,2022-04-11,"Munich, Germany",within an hour,100%,100%,f,,7,7,t,,Altstadt-Lehel,48.1343925,11.5739792,Room in hotel,Private room,1,1 bath,1,$206.00,1,30,0,,,,,,,,,,t,7,0,7,0,
970108037411759105,https://www.airbnb.com/rooms/970108037411759105,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,469023861,Daniel,2022-07-12,,,,50%,f,,1,1,t,"Munich, Bayern, Germany",Ludwigsvorstadt-Isarvorstadt,48.132588833743156,11.5802777457216,Entire rental unit,Entire home/apt,2,1 bath,1,$190.00,1,365,2,2023-09-26,2023-10-01,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,1,1,0,0,0.65
932037406780068356,https://www.airbnb.com/rooms/932037406780068356,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,,44237716,Margaux,2015-09-15,"Munich, Germany",,,50%,f,,1,4,t,,Altstadt-Lehel,48.1457224354464,11.596350493600868,Entire rental unit,Entire home/apt,4,1 bath,1,,6,56,1,2023-08-19,2023-08-19,4.0,5.0,4.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.23
